utterance_id	From	To	File	Id	String id	Year of birth	Sex	Education	Place of birth	Place of living	Left Context	DMatch	Right Context
16208	830392	833053	2019_stajki_nXr1961_4_1		nXr1961	1961	f	техникум	Мазыки	Стайки	Ну, работали в	колхозе	, потом вышли в фермеры.
16245	993999	998045	2019_stajki_nXr1961_4_1		nXr1961	1961	f	техникум	Мазыки	Стайки	уже всё, в таком	духе	.
16272	1092659	1094549	2019_stajki_nXr1961_4_1		nXr1961	1961	f	техникум	Мазыки	Стайки	Ну в	колхозе	работала сначала,
16335	123896	128753	2019_stajki_nnm1955_3		nnm1955	1955	f	техникум	Микшино	Стайки	Не надо, девчат, не надо, не надо, никуда не	визите	, всё тут (тута) соберите, хорошо?
16405	354464	361639	2019_stajki_nnm1955_3		nnm1955	1955	f	техникум	Микшино	Стайки	Так что не надо, девчата, ну лучше сюда уже проехал, так вы там что - то, может быть, и снимите, это же близенько, на	асфальте	, там машину побьёте.
16429	441513	443018	2019_stajki_nnm1955_3		nnm1955	1955	f	техникум	Микшино	Стайки	кто находится в вашем	доме	?
16485	628853	632144	2019_stajki_nnm1955_3		nnm1955	1955	f	техникум	Микшино	Стайки	немного поработала в	райкоме	партии, это разогнали эту нашу.
16507	712122	714145	2019_stajki_nnm1955_3		nnm1955	1955	f	техникум	Микшино	Стайки	Ну, на	тракторе	,
16690	1278089	1283711	2019_stajki_nnm1955_3		nnm1955	1955	f	техникум	Микшино	Стайки	А попробуй после мокрого, вы ж ходите, да, и попробуй - ка побудь в	доме	, неприятно ж, во - первых.
16715	1357545	1359435	2019_stajki_nnm1955_3		nnm1955	1955	f	техникум	Микшино	Стайки	Ну, во всяком	случае	нам сделали газ.
16774	1528437	1531371	2019_stajki_nnm1955_3		nnm1955	1955	f	техникум	Микшино	Стайки	у вас в	городе	ж дороже, а у нас пять, пять, пять, пять,
16777	1539739	1544570	2019_stajki_nnm1955_3		nnm1955	1955	f	техникум	Микшино	Стайки	Ну а так сказали, в	июле	там, может быть, три с чем - то будет, ну может, на десять копеек или на двадцать.
16779	1547716	1549480	2019_stajki_nnm1955_3		nnm1955	1955	f	техникум	Микшино	Стайки	А в	городе	так вообще там.
16962	394870	395610	2019_zhanvil_pds1932_1_2		pds1932	1932	f	4 класса	Шипы	Жанвиль	на	гребне	(гребню),
16992	503370	505640	2019_zhanvil_pds1932_1_2		pds1932	1932	f	4 класса	Шипы	Жанвиль	Чтоб приводить в дом, в	доме	(дому).
17112	977186	983607	2019_zhanvil_pds1932_1_2		pds1932	1932	f	4 класса	Шипы	Жанвиль	только перегнали через ров, и овечки ж раньше ходили в	табуне	.
17197	86156	88227	2019_zarechje_ndr_1_1		ndr1934	1934	f	8 классов	Мурашки	Заречье	Да, я работала в	колхозе	.
17289	543726	547377	2019_zarechje_ndr_1_1		ndr1934	1934	f	8 классов	Мурашки	Заречье	То дрова	якие	(какие) раскладут, то телегу якую (какую) обернут.
17300	41203	44203	2019_zarechje_ndr_1_4		ndr1934	1934	f	8 классов	Мурашки	Заречье	Ну, приходили, на	поводе	приводили и
17314	127577	131396	2019_zarechje_ndr_1_4		ndr1934	1934	f	8 классов	Мурашки	Заречье	чтобы в	случае	пожара, чтоб уже всё наготаове было.
17322	158412	160689	2019_zarechje_ndr_1_4		ndr1934	1934	f	8 классов	Мурашки	Заречье	А тогда	этое	(это) ничего не было нигде.
17325	174913	180501	2019_zarechje_ndr_1_4		ndr1934	1934	f	8 классов	Мурашки	Заречье	Ну а что делали? Ничего не делали, так он и сгорит. Сейчас же	этое	(это), пожарных ж не было никаких.
17454	247435	250005	2019_zhanvil_kkd1952_1_5		kkd1952	1952	f	техникум	Гута	Жанвиль	Ну, мололи - это в	колхозе	мололи, ну.
17461	271314	276034	2019_zhanvil_kkd1952_1_5		kkd1952	1952	f	техникум	Гута	Жанвиль	в кол = тогда (тады) ж мельницы не было. Сейчас в	колхозе	большая мельница скоту мелет.
17567	682857	687747	2019_zhanvil_kkd1952_1_5		kkd1952	1952	f	техникум	Гута	Жанвиль	я в газете читала, вот не помню, в каком - то ти	журнале	, приметы какие - то
17651	1044190	1048140	2019_zhanvil_kkd1952_1_5		kkd1952	1952	f	техникум	Гута	Жанвиль	Ну, все там и тараканы, всякие, ну, все какие (	якие	) пауки, жуки, все эти (этые).
17681	1172073	1175521	2019_zhanvil_kkd1952_1_5		kkd1952	1952	f	техникум	Гута	Жанвиль	там в соседнем	колхозе	в деревне женщину
17683	1178095	1182165	2019_zhanvil_kkd1952_1_5		kkd1952	1952	f	техникум	Гута	Жанвиль	Молодую, в	дере	= ребёнка кормила грудью, женщину забило.
17713	1286933	1287988	2019_zhanvil_kkd1952_1_5		kkd1952	1952	f	техникум	Гута	Жанвиль	Везде, в	сарае	, всё.
17767	163278	167460	2019_Soino-pma1937_3_1		pma1937	1937	f	4 класса	Яновка	Соино	А мы придём, бедненькие племяннички, стоим в	пороге	.
17789	236837	240524	2019_Soino-pma1937_3_1		pma1937	1937	f	4 класса	Яновка	Соино	Мы все были в	наряде	. И маленькие, и старенькие, гулять особо не, если
17893	626586	628061	2019_Soino-pma1937_3_1		pma1937	1937	f	4 класса	Яновка	Соино	Держишь дома, в	сарае	.
17996	1039380	1044780	2019_Soino-pma1937_3_1		pma1937	1937	f	4 класса	Яновка	Соино	Вот, открывается клуб. В воскресенье уже они уезжают, значит, некому в	клубе	, старые ж не пойдут.
17999	1055757	1056955	2019_Soino-pma1937_3_1		pma1937	1937	f	4 класса	Яновка	Соино	Вот в моём	доме	.
18045	1219799	1223249	2019_Soino-pma1937_3_1		pma1937	1937	f	4 класса	Яновка	Соино	А нас, подлётков таких, не пускали. Взрослые только в	доме	.
18079	82043	86729	2019_zhanvil_kkd1952_4_5		kkd1952	1952	f	техникум	Гута	Жанвиль	Капусту топ = чтоб не было ни сала, ни мяса в той капусте, ти в	супе	этом.
18168	410008	413500	2019_zhanvil_kkd1952_4_5		kkd1952	1952	f	техникум	Гута	Жанвиль	Я в	колхозе	работал, в газету не попал. Женка поехала.
18214	599769	602775	2019_zhanvil_kkd1952_4_5		kkd1952	1952	f	техникум	Гута	Жанвиль	Это, это (	етое	) зовут. А то Дашка.
18229	660282	663201	2019_zhanvil_kkd1952_4_5		kkd1952	1952	f	техникум	Гута	Жанвиль	Одна была кошка в	доме	, сошла. Думаю, господи.
18404	551505	553446	2019_stajki_nnm1955_2_3		nnm1955	1955	f	техникум	Микшино	Стайки	В вашем	доме	стоит вот тут.
18442	720005	724358	2019_stajki_nnm1955_2_3		nnm1955	1955	f	техникум	Микшино	Стайки	Вот от магазина, там дорожка, и пройдёте, там её сестра в	магазине	родная
18487	932324	937161	2019_stajki_nnm1955_2_3		nnm1955	1955	f	техникум	Микшино	Стайки	Она не на	уровне	их, а где - то в боку, она всё равно стучит по стенке как ненормальная.
18489	941261	944214	2019_stajki_nnm1955_2_3		nnm1955	1955	f	техникум	Микшино	Стайки	ну это ж дети в кажом	доме	, вы приехали сюда в город,
18491	946906	951790	2019_stajki_nnm1955_2_3		nnm1955	1955	f	техникум	Микшино	Стайки	будете понимать, что когда - то начинается, дети собираются, после школы или что шуму в	доме	,
18514	1048813	1050784	2019_stajki_nnm1955_2_3		nnm1955	1955	f	техникум	Микшино	Стайки	в	обиходе	там то слово, то слово,
18561	1201802	1205046	2019_stajki_nnm1955_2_3		nnm1955	1955	f	техникум	Микшино	Стайки	Есть чаёк, есть молочко на	столе	, там куплю,
18584	1288199	1293251	2019_stajki_nnm1955_2_3		nnm1955	1955	f	техникум	Микшино	Стайки	И пошлют тебя, надо, например, там, какой - то исторический	факульте	=, ну, исторический это самое, да?
18682	112046	115116	2019_Malye_Xutora_zvp1934_3		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Ну может и праздновали какие (	якие	) праздники.
18699	172705	178300	2019_Malye_Xutora_zvp1934_3		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Какие (	якие	) вот старые - старые деревни, им все на карте, бывало, приедут они
18700	178402	181610	2019_Malye_Xutora_zvp1934_3		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	на	мотоцикле	, и них же мотоциклы уже (ужо) были у немцев.
18727	352411	356616	2019_Malye_Xutora_zvp1934_3		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	А раньше? Ну может, сами какие (	якие	), которые знали. Дак может и пели.
18764	531496	534326	2019_Malye_Xutora_zvp1934_3		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Вот мы, мы уже (ужо) вот в	колхозе	жали.
18803	684162	687757	2019_Malye_Xutora_zvp1934_3		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Гончары какие (	якие	), тут глина есть (ёсь), вон как (як) наше кладбище.
18859	888620	890783	2019_Malye_Xutora_zvp1934_3		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	То, то, то Жигалки какие (	якие	).
19124	483149	485933	2018_stajki_nib1935_3_33-48		nib1935	1935	m	n/d	Стайки	Стайки	Мы, говорит, заросли в	бурьяне	. А... конечно, зарастём!
19130	499149	501967	2018_stajki_nib1935_3_33-48		nib1935	1935	m	n/d	Стайки	Стайки	Наших много в Можайском	районе	в Московской области.
19216	728469	731552	2018_stajki_nib1935_3_33-48		nib1935	1935	m	n/d	Стайки	Стайки	Ещё там, гулянки какие - то (	якие	- то) там.
19218	734225	735285	2018_stajki_nib1935_3_33-48		vvb1936	1936	f	n/d	Максимовка	Стайки	в	колхозе	там.
19272	869487	873808	2018_stajki_nib1935_3_33-48		nib1935	1935	m	n/d	Стайки	Стайки	А были такие, что в эту (этую) миску плюнет, это (	этое	) не хочешь, и он тогда (тады) поест всё.
19336	438913	445608	2019_zhanvil_pds1932_4_4		pds1932	1932	f	4 класса	Шипы	Жанвиль	и вот на	перекрёстке	на этой, рассы = рассыпать этих мурашек. Ну мы оббежали (оббегли) это (этое),
19336	438913	445608	2019_zhanvil_pds1932_4_4		pds1932	1932	f	4 класса	Шипы	Жанвиль	и вот на перекрёстке на этой, рассы = рассыпать этих мурашек. Ну мы оббежали (оббегли) это (	этое	),
19396	5600	10580	2019_zhanvil_znk1937_3		znk1937	1937	f	4 класса	Рудня	Жанвиль	Дак вот как (як) вырастут они, видно будут тогда (тады), кто, какие (	якие	) петушки, какие (якие) курочки.
19396	5600	10580	2019_zhanvil_znk1937_3		znk1937	1937	f	4 класса	Рудня	Жанвиль	Дак вот как (як) вырастут они, видно будут тогда (тады), кто, какие (якие) петушки, какие (	якие	) курочки.
19410	97842	100573	2019_zhanvil_znk1937_3		znk1937	1937	f	4 класса	Рудня	Жанвиль	Ну то (	тое	) яйцо тогда (тъда) крупнейшее.
19411	101269	103269	2019_zhanvil_znk1937_3		znk1937	1937	f	4 класса	Рудня	Жанвиль	Эти (этые) не, а то (	тое	) крупное.
19439	252182	255338	2019_zhanvil_znk1937_3		znk1937	1937	f	4 класса	Рудня	Жанвиль	Ти в	огороде	что накупалят.
19537	212860	217836	2019_zhanvil_kkd1952_1_2		kkd1952	1952	f	техникум	Гута	Жанвиль	Ну что - то, говорит, делали, чтобы дом добро стоял, и всё в	доме	было добро.
19560	352893	358929	2019_zhanvil_kkd1952_1_2		kkd1952	1952	f	техникум	Гута	Жанвиль	Ну ходь =, ну ход = ь, не, надо, когда (къда) корову покупаешь в	колхозе	,
19581	446224	452489	2019_zhanvil_kkd1952_1_2		kkd1952	1952	f	техникум	Гута	Жанвиль	где, где - то в	пределе	восьмого, девятого мая, тут после на майские праздники на эти, ну, на выходные на это.
19722	168964	175371	2019_Zhigalki_mak1942_2		mak1942	1942	f	n/d	Ясеневка	Жигалки	Ну мы, когда ходим, вот у нас в	Доме	культуры в Соине, дык тут (тута) и чучело палили, но мы в деревне ничего не делали.
19861	120236	125070	2018_Malye_Xutora_zvp1934_2		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Да, ну, может, куда (куды) и заходили какие (	якие	) там родня, может тётки какие (якие).
19861	120236	125070	2018_Malye_Xutora_zvp1934_2		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Да, ну, может, куда (куды) и заходили какие (якие) там родня, может тётки какие (	якие	).
19921	374171	378022	2018_Malye_Xutora_zvp1934_2		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	а другой в белом	доме	в Хиславичах главный агроном.
19935	431646	435220	2018_Malye_Xutora_zvp1934_2		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	то (	тое	) надели, кофту ей, юбку надели.
19941	450988	454905	2018_Malye_Xutora_zvp1934_2		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Не, не, в том было, и это (	этое	) платье, что положили туда (туды).
19974	579767	586126	2018_Malye_Xutora_zvp1934_2		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Ну через дверь, и на каждом вот	пороге	, три раза гроб этот (этый) его так клонят.
19987	639004	642811	2018_Malye_Xutora_zvp1934_2		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Опустят, подымут, и опять опустят и подымут, на каждом	пороге	так.
19990	653761	659253	2018_Malye_Xutora_zvp1934_2		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Ну, на, при	входе	, знаете кто, кто последний помер, тот (тэй) откупливает могилку.
20098	1066670	1069095	2018_Malye_Xutora_zvp1934_2		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Я вот в Городчанке была на	обеде	,
20116	1145465	1149523	2018_Malye_Xutora_zvp1934_2		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Ну дак, может, где (иде) это, это какие - то (	якие	- то) были утпопленники (топленники) звались.
20278	185182	191000	2019_Zhigalki_mak1942_1_2		mak1942	1942	f	n/d	Ясеневка	Жигалки	соберутся, где (иде), может, у кого в	доме	или на улице, две завивали берёзки, закручивали.
20284	210463	213098	2019_Zhigalki_mak1942_1_2		mak1942	1942	f	n/d	Ясеневка	Жигалки	К лесику ходили так, где кустарнички какие (	якие	).
20315	308840	313820	2019_Zhigalki_mak1942_1_2		mak1942	1942	f	n/d	Ясеневка	Жигалки	раньше только мыши [были], [перво] сами знаете: в каждом	доме	, в каждом всюду крысы и крысы одолели.
20327	353020	356530	2019_Zhigalki_mak1942_1_2		mak1942	1942	f	n/d	Ясеневка	Жигалки	Скоту, ну, вот такие веточки торкали, на	куте	в,
20364	501440	505600	2019_Zhigalki_mak1942_1_2		mak1942	1942	f	n/d	Ясеневка	Жигалки	Всегда приносили в дом, и он (ён), батюшка, объяснял: если кому - то в	доме	мешает,
20365	505731	508830	2019_Zhigalki_mak1942_1_2		mak1942	1942	f	n/d	Ясеневка	Жигалки	можно где (иде) на	чердаке	, можно где - то (иде - то) на полочке положить.
20374	532632	537334	2019_Zhigalki_mak1942_1_2		mak1942	1942	f	n/d	Ясеневка	Жигалки	Не знаю, что верба...	Посте	= стебать надо один одного этой вербочкой. Может...
20437	800780	808440	2019_Zhigalki_mak1942_1_2		mak1942	1942	f	n/d	Ясеневка	Жигалки	Это в	городе	скупают. У нас ну, ну вот, когда (къда) ком = могилку эту копают, дак мелочи свои родственники кинут туда (туды) в могилку.
20469	954615	958778	2019_Zhigalki_mak1942_1_2		mak1942	1942	f	n/d	Ясеневка	Жигалки	Ой, какие (	якие	) родители будут выбирать! Как (як) и теперь выбирают разве родители?
20485	1019735	1023405	2019_Zhigalki_mak1942_1_2		mak1942	1942	f	n/d	Ясеневка	Жигалки	Может, раньше расплетали, когда люди бог знает какие (	якие	) жили. А мы уже (ужо),
20487	1027555	1032075	2019_Zhigalki_mak1942_1_2		mak1942	1942	f	n/d	Ясеневка	Жигалки	Караваи пекли какие - то (	якие	- то), а раньше с чего дуже было, детка, печь. Мы так жили
20549	1248503	1254654	2019_Zhigalki_mak1942_1_2		mak1942	1942	f	n/d	Ясеневка	Жигалки	С овечек чесали, возили там, деревня Гута была. Чесали она (ина) вон на	чёсанке	. Потом привязывали,
20577	25296	27738	2019_stajki_nXr1961_3		nXr1961	1961	f	техникум	Мазыки	Стайки	Видели? При	въезде	в деревню?
20580	36813	39356	2019_stajki_nXr1961_3		nXr1961	1961	f	техникум	Мазыки	Стайки	Она (ина) в этом	колхозе	проработала всю жизнь.
20583	43714	51285	2019_stajki_nXr1961_3		nXr1961	1961	f	техникум	Мазыки	Стайки	как (як) она (ина) сюда пришла, какие (	якие	) были у нас намолоты, достижения при Советском Союзе, и теперь (теперя) расскажет, как (як) колхоз выжил.
20583	43714	51285	2019_stajki_nXr1961_3		nXr1961	1961	f	техникум	Мазыки	Стайки	как (як) она (ина) сюда пришла, какие (якие) были у нас намолоты, достижения при Советском	Союзе	, и теперь (теперя) расскажет, как (як) колхоз выжил.
20641	264574	268330	2019_stajki_nXr1961_3		nXr1961	1961	f	техникум	Мазыки	Стайки	Подожди, серебрянные бывают, самые дешевые какие (	якие	) это бывают?
20679	423862	426927	2019_stajki_nXr1961_3		nXr1961	1961	f	техникум	Мазыки	Стайки	Галька, как - то (як - то) то (	тое	), что у нас всё рушилось?
20686	448843	452479	2019_stajki_nXr1961_3		nXr1961	1961	f	техникум	Мазыки	Стайки	узник малолетний, в	концлагере	родился.
20702	511041	512347	2019_stajki_nXr1961_3		nXr1961	1961	f	техникум	Мазыки	Стайки	В нашем	районе	.
20752	174212	176270	2019_zhanvil_pds1932_3_2		pds1932	1932	f	4 класса	Шипы	Жанвиль	Если в пуню	зале	=, вот туточка.
20772	272155	277577	2019_zhanvil_pds1932_3_2		pds1932	1932	f	4 класса	Шипы	Жанвиль	У меня только как (як) мама помёрла, бывало, только увижу маму, во	сне	.
20776	285050	286262	2019_zhanvil_pds1932_3_2		pds1932	1932	f	4 класса	Шипы	Жанвиль	увидела во	сне	.
20779	293954	297206	2019_zhanvil_pds1932_3_2		pds1932	1932	f	4 класса	Шипы	Жанвиль	Маму вижу во	сне	, мама говорит: Паша, Паша!
20797	394240	398838	2019_zhanvil_pds1932_3_2		pds1932	1932	f	4 класса	Шипы	Жанвиль	Я говорила то, как =, как (як) это (	этое	), носила мурашки, и всё.
20854	663276	664996	2019_zhanvil_pds1932_3_2		pds1932	1932	f	4 класса	Шипы	Жанвиль	Какие (	якие	) у нас тут (тута) медведи...
20864	699008	702817	2019_zhanvil_pds1932_3_2		pds1932	1932	f	4 класса	Шипы	Жанвиль	А какая (якая) она там рыба, ну плотки какие (	якие	), да коли ловят.
20867	709380	711468	2019_zhanvil_pds1932_3_2		pds1932	1932	f	4 класса	Шипы	Жанвиль	Мы не	уме	=, я не умею рыбу...
20869	715023	719548	2019_zhanvil_pds1932_3_2		pds1932	1932	f	4 класса	Шипы	Жанвиль	Ну, у Рудне речечка, ну один, дак тот (тэй) ловил какие - то (	якие	- то).
20874	757545	760500	2019_zhanvil_pds1932_3_2		pds1932	1932	f	4 класса	Шипы	Жанвиль	На	огороде	гряды надо сделать.
20958	1216899	1220434	2019_zhanvil_pds1932_3_2		pds1932	1932	f	4 класса	Шипы	Жанвиль	Да, ну раньше же горлачи были. Не теперь (теперя), что в	банке	, вот.
21035	144224	148013	2019_Zhigalki_mak1942_1_1		mak1942	1942	f	n/d	Ясеневка	Жигалки	Вот мы с дедом. Фотографировали нас, наверное, на	диване	. Да.
21061	246417	248768	2019_Zhigalki_mak1942_1_1		mak1942	1942	f	n/d	Ясеневка	Жигалки	Мне уже семьдесят семь лет вот было в	марте	.
21102	429553	433949	2019_Zhigalki_mak1942_1_1		mak1942	1942	f	n/d	Ясеневка	Жигалки	Дед мой корзиночки такие плел и детям. Вы поглядите, какие (	якие	) ручечки.
21186	799693	805379	2019_Zhigalki_mak1942_1_1		mak1942	1942	f	n/d	Ясеневка	Жигалки	Вот паук может по = по окне	гдпое	- то полз, а она испугалась. Ну, детенок, два годика, может, и было, может, не.
21211	901655	903644	2019_Zhigalki_mak1942_1_1		mak1942	1942	f	n/d	Ясеневка	Жигалки	А говорят, на что нам в	городе	такие?
21256	1073288	1076282	2019_Zhigalki_mak1942_1_1		mak1942	1942	f	n/d	Ясеневка	Жигалки	Не забыла ничего, какие (	якие	) два вот зуба во рту (в роте), и те больные.
21262	1096049	1098199	2019_Zhigalki_mak1942_1_1		mak1942	1942	f	n/d	Ясеневка	Жигалки	А все праздники. Какие (	якие	) были, вот,
21403	427942	429560	2018_stajki_kfb1929_3_40-58		kfb1929	1929	f	6 классов	Малые Хутора	Стайки	На	заводе	работала.
21428	511778	515469	2018_stajki_kfb1929_3_40-58		kfb1929	1929	f	6 классов	Малые Хутора	Стайки	кто едет с войны, а он там у нас в	дере	=, этот (этый), пуня.
21446	573289	576869	2018_stajki_kfb1929_3_40-58		kfb1929	1929	f	6 классов	Малые Хутора	Стайки	Ну, молодцом, в	городе	живут, машин...
21479	674810	678042	2018_stajki_kfb1929_3_40-58		kfb1929	1929	f	6 классов	Малые Хутора	Стайки	сани какие (	якие	), и сядем все в сани.
21479	674810	678042	2018_stajki_kfb1929_3_40-58		kfb1929	1929	f	6 классов	Малые Хутора	Стайки	сани какие (	якие	), и сядем все в сани.
21563	965067	968310	2018_stajki_kfb1929_3_40-58		kfb1929	1929	f	6 классов	Малые Хутора	Стайки	Ну, сами в	дворе	зачинимся и сидим.
21605	1113469	1116969	2018_stajki_kfb1929_3_40-58		kfb1929	1929	f	6 классов	Малые Хутора	Стайки	Ну, песни весенние какие - то (	якие	- то), старин =
21616	18915	22183	2019_zhanvil_kkd1952_4_2		kkd1952	1952	f	техникум	Гута	Жанвиль		Полоте	= это нема сейчас, а это, видите, какие?
21752	589918	593261	2019_zhanvil_kkd1952_4_2		kkd1952	1952	f	техникум	Гута	Жанвиль	мужа брат	зове	= зовут в деревне деверь.
21823	931122	936204	2019_zhanvil_kkd1952_4_2		kkd1952	1952	f	техникум	Гута	Жанвиль	Ставят скамейку. Скамейка должна, можно и голую, это ж нечто не	голе	=, не голенько.
21898	1231840	1234460	2019_zhanvil_kkd1952_4_2		kkd1952	1952	f	техникум	Гута	Жанвиль	А это, говорит, при царе	Горохе	что - то было.
21931	1360575	1362295	2019_zhanvil_kkd1952_4_2		kkd1952	1952	f	техникум	Гута	Жанвиль	Потому песни при царе	Горохе	.
21969	52755	54008	2019_zhanvil_kkd1952_1_1		kkd1952	1952	f	техникум	Гута	Жанвиль	То (	тое	) всё она умела.
22016	256551	260765	2019_zhanvil_kkd1952_1_1		kkd1952	1952	f	техникум	Гута	Жанвиль	Ну, и вам скажу, раньше работали всё в	колхозе	, всё руками делали, всё.
22034	331317	333304	2019_zhanvil_kkd1952_1_1		kkd1952	1952	f	техникум	Гута	Жанвиль	Вот, за = на всю в	клубе	том.
22037	347443	352067	2019_zhanvil_kkd1952_1_1		kkd1952	1952	f	техникум	Гута	Жанвиль	Не, в нашей молодости в	клубе	были, но если какие вот, э - э.
22053	414432	419510	2019_zhanvil_kkd1952_1_1		kkd1952	1952	f	техникум	Гута	Жанвиль	били, потом его поднимали опять и свозили на, на завод у нас в	районе	.
22125	710944	713833	2019_zhanvil_kkd1952_1_1		kkd1952	1952	f	техникум	Гута	Жанвиль	сейчас дети сядут, поедут на	автобусе	. Что? Говорю,
22138	773697	777119	2019_zhanvil_kkd1952_1_1		kkd1952	1952	f	техникум	Гута	Жанвиль	Да, есть колхоз. Мои дочки работают доярками в	колхозе	.
22141	794950	797255	2019_zhanvil_kkd1952_1_1		kkd1952	1952	f	техникум	Гута	Жанвиль	С моего поколения осталась одна в	колхозе	.
22149	830313	833970	2019_zhanvil_kkd1952_1_1		kkd1952	1952	f	техникум	Гута	Жанвиль	А я в	городе	не хочу дня. Мне б заплатили каб, я пожила год какой (якей).
22226	217450	224300	2019_zhanvil_znk1937_2		znk1937	1937	f	4 класса	Рудня	Жанвиль	Я кинула свой участок, я вот только на	огороде	вот трозу бульбы этой посеяла.
22233	253280	256420	2019_zhanvil_znk1937_2		znk1937	1937	f	4 класса	Рудня	Жанвиль	Вытряхнет это (	этое	) с бороздёны всё собери.
22242	305889	312066	2019_zhanvil_znk1937_2		znk1937	1937	f	4 класса	Рудня	Жанвиль	Правда, гречиху мужчины какие - то (	якие	- то) делали такие как (як) круглые лотоки, прицапливали к косам.
22303	664068	665708	2019_zhanvil_znk1937_2		znk1937	1937	f	4 класса	Рудня	Жанвиль	Ничего это (	этое	) не делали.
22312	704918	707624	2019_zhanvil_znk1937_2		znk1937	1937	f	4 класса	Рудня	Жанвиль	В	загоне	, они ж никуда (никуды) не вылезут.
22322	758882	764786	2019_zhanvil_znk1937_2		znk1937	1937	f	4 класса	Рудня	Жанвиль	Дык у нас пастухи были какие - то (	якие	- то), вот пустят, и к Сожу выйдут,
22389	1123169	1131205	2019_zhanvil_znk1937_2		znk1937	1937	f	4 класса	Рудня	Жанвиль	А так... У нас больших нема, как (як) по телевизору другой раз показывают, дык а боже ж мой какие (	якие	), большие.
22396	23550	30740	2019_zarechje_lva1963_1_4		lva1963	1963	f	техникум	Заречье	Заречье	Вот в	пороге	нельзя было останавливаться. Вот заходишь ты в дом, вот там у, около поро = кол пороге нельзя стоять.
22396	23550	30740	2019_zarechje_lva1963_1_4		lva1963	1963	f	техникум	Заречье	Заречье	Вот в пороге нельзя было останавливаться. Вот заходишь ты в дом, вот там у, около поро = кол	пороге	нельзя стоять.
22397	30860	37360	2019_zarechje_lva1963_1_4		lva1963	1963	f	техникум	Заречье	Заречье	Может, сказали, ребёнок в	проходе	застрянет, это вторая примета была, такое говорили.
22403	57622	60812	2019_zarechje_lva1963_1_4		lva1963	1963	f	техникум	Заречье	Заречье	Ну а теперь то (	тое	) нельзя, то (тое) нельзя, я делала всё.
22403	57622	60812	2019_zarechje_lva1963_1_4		lva1963	1963	f	техникум	Заречье	Заречье	Ну а теперь то (тое) нельзя, то (	тое	) нельзя, я делала всё.
22443	181262	184884	2019_zarechje_lva1963_1_4		lva1963	1963	f	техникум	Заречье	Заречье	Костюкова, бухгалтером главным работает у нас она в	колхозе	такая.
22475	314540	317890	2019_zarechje_lva1963_1_4		lva1963	1963	f	техникум	Заречье	Заречье	А вы на чём, на	поезде	приехали? Или что, или что.
22482	341930	344151	2019_zarechje_lva1963_1_4		lva1963	1963	f	техникум	Заречье	Заречье	какие (	якие	) венки, это (этое) Духи, она всё это знает
22482	341930	344151	2019_zarechje_lva1963_1_4		lva1963	1963	f	техникум	Заречье	Заречье	какие (якие) венки, это (	этое	) Духи, она всё это знает
22515	458862	464517	2019_zarechje_lva1963_1_4		lva1963	1963	f	техникум	Заречье	Заречье	Не, у неё если это, первая дверь, если на	входе	закрыто вот так, на закрутку.
22516	465204	468144	2019_zarechje_lva1963_1_4		lva1963	1963	f	техникум	Заречье	Заречье	Значит, нет её, куда - то вышла, может, на	огороде	.
22544	75002	78902	2019_zarechje_via1941_1_3_44-62		via1941	1941	f	n/d	Николаево	Заречье	В этом	доме	, здесь сейчас Люда живёт. В сарае в её,
22544	75002	78902	2019_zarechje_via1941_1_3_44-62		via1941	1941	f	n/d	Николаево	Заречье	В этом доме, здесь сейчас Люда живёт. В	сарае	в её,
22572	180562	183042	2019_zarechje_via1941_1_3_44-62		via1941	1941	f	n/d	Николаево	Заречье	а я в мае в	месяце	пошла замуж..
22604	308051	310391	2019_zarechje_via1941_1_3_44-62		via1941	1941	f	n/d	Николаево	Заречье	Бани кто строил какие (	якие	),
22608	317731	320991	2019_zarechje_via1941_1_3_44-62		via1941	1941	f	n/d	Николаево	Заречье	Лук порвут на	огороде	, побросают они.
22611	336971	341866	2019_zarechje_via1941_1_3_44-62		via1941	1941	f	n/d	Николаево	Заречье	Может какие (	якие	) где ходили домовые, но мы их не видали никогда.
22619	377552	380347	2019_zarechje_via1941_1_3_44-62		via1941	1941	f	n/d	Николаево	Заречье	и перед собой на	столе	ставит зеркало.
